iter	Logloss
0	0.681759691
1	0.6739161778
2	0.6629699816
3	0.6522789426
4	0.6418364596
5	0.6316360754
6	0.62824673
7	0.6183583833
8	0.6151074293
9	0.6119170958
10	0.6024015244
11	0.6018424062
12	0.5987861256
13	0.5922827207
14	0.5893391444
15	0.5803416537
16	0.571548345
17	0.5687881031
18	0.5602553808
19	0.5519145447
20	0.5461533157
21	0.5404841803
22	0.534905401
23	0.527114334
24	0.5194958688
25	0.5120454236
26	0.5047585411
27	0.4976308858
28	0.4906582416
29	0.4858280048
30	0.4791060941
31	0.4725285812
32	0.4660916608
33	0.4616247267
34	0.4554154199
35	0.4511064268
36	0.4468628049
37	0.4426833212
38	0.4385667678
39	0.4328265308
40	0.4272054088
41	0.4233111812
42	0.4194746496
43	0.4156947354
44	0.4104157946
45	0.4052442471
46	0.4001773274
47	0.3952123506
48	0.3917702611
49	0.3869703833
50	0.3822657015
51	0.3776538013
52	0.3731323385
53	0.3686990365
54	0.3643516842
55	0.3600881344
56	0.3559063017
57	0.3529921546
58	0.3489430927
59	0.3449704992
60	0.3410724975
61	0.3372472652
62	0.3334930314
63	0.3298080758
64	0.3261907271
65	0.322639361
66	0.3201529086
67	0.3167090942
68	0.3133271655
69	0.3100056586
70	0.3067431506
71	0.3035382583
72	0.3003896371
73	0.2972959796
74	0.2942560148
75	0.2912685066
76	0.288332253
77	0.285446085
78	0.2826088653
79	0.2798194879
80	0.2770768767
81	0.2743799847
82	0.2717277931
83	0.2691193106
84	0.2665535722
85	0.2640296389
86	0.2615465965
87	0.2591035552
88	0.2566996484
89	0.2543340325
90	0.2520058859
91	0.2497144085
92	0.2474588209
93	0.2452383639
94	0.243052298
95	0.2408999026
96	0.2387804756
97	0.2366933327
98	0.2346378071
99	0.2326132487
