iter	Passed	Remaining
0	1	174
1	2	108
2	2	75
3	2	57
4	2	47
5	2	40
6	2	35
7	2	30
8	2	28
9	2	26
10	3	24
11	3	22
12	3	21
13	3	20
14	3	19
15	3	18
16	3	17
17	3	16
18	3	16
19	3	15
20	3	14
21	4	14
22	4	13
23	4	13
24	4	12
25	4	12
26	5	14
27	5	13
28	5	13
29	5	12
30	5	12
31	5	12
32	5	11
33	5	11
34	5	11
35	6	10
36	6	10
37	6	10
38	6	10
39	6	9
40	6	9
41	6	9
42	6	8
43	6	8
44	6	8
45	6	8
46	7	7
47	7	7
48	7	7
49	7	7
50	7	7
51	7	6
52	7	6
53	7	6
54	7	6
55	7	6
56	7	5
57	7	5
58	7	5
59	8	5
60	8	5
61	8	4
62	8	4
63	8	4
64	8	4
65	8	4
66	8	4
67	8	4
68	8	3
69	8	3
70	8	3
71	8	3
72	8	3
73	8	3
74	8	2
75	9	2
76	9	2
77	9	2
78	9	2
79	9	2
80	9	2
81	9	2
82	9	1
83	9	1
84	9	1
85	9	1
86	9	1
87	9	1
88	10	1
89	10	1
90	10	1
91	10	0
92	10	0
93	10	0
94	10	0
95	10	0
96	10	0
97	10	0
98	10	0
99	10	0
